S,sigma,timelapse
897,4.9815,5018.215365053
5540,9.4976,5021.835056283
6433,13.9979,5024.830603223
976,18.3764,5028.6752696309995
4293,22.8831,5033.439282974
21,26.8607,5065.893932332
4228,30.9459,5072.3220499379995
3732,34.9126,5093.151108732
371,38.933,5101.1438066559995
4792,42.9065,5109.901124328
1664,46.9875,5119.470686473
9247,50.921,5139.734925104
829,54.7257,5150.964047781
968,58.5667,5186.412088809
5210,62.2426,5224.03330201
804,65.9453,5277.163203253
588,69.6637,5333.342830144
937,73.2479,5348.094083226
7097,77.0147,5363.635997027
2627,80.4929,5525.366102511
1019,83.9626,5559.078748452
4526,87.5723,5594.340247037
6035,90.9586,5939.723080963
8986,94.3368,5996.6888478579995
874,97.7522,6036.080085756
104,101.3198,6077.028536737
7808,104.7316,6098.166179815
8330,108.1402,6163.2896596129995
5128,111.7575,6185.779470674
9661,115.1529,6485.427901608
1506,118.4567,6651.660324153
310,121.8132,6872.156608787
5158,125.2644,6922.433268848
5641,128.8286,6974.126460519
2652,132.1628,7211.867535337
733,135.4782,7266.46130011
7225,139.0264,7294.4428493039995
6725,142.3048,7465.693434565
8633,145.5506,7494.976347209999
761,149.0383,7525.013719361
1527,152.4028,7586.40172172
7117,155.6555,7617.736360286
7318,159.1163,7649.7449431019995
320,162.4513,7780.032250578
9544,165.7138,7978.251959998
3399,169.0534,8012.380734943
6669,172.3406,8046.988512991
4192,175.5522,8152.931384061
3716,179.0849,8795.899840538
6324,182.6486,8905.424386573999
11482,185.8445,9426.358454949
9080,189.0385,9691.507723674
7869,192.2469,9923.745340993
5487,195.3763,9963.133645584
1160,198.8109,10083.003614853
6403,202.3417,10245.061568957999
8073,205.5719,10989.451041713999
9664,208.7886,11073.121979731999
9451,211.8888,11158.290381641
5704,215.1054,11719.438458077
196,218.1465,14102.789558268
207,221.211,14465.47457888
7008,224.2801,14696.464629369
9428,227.4437,14836.318573446
6876,230.4803,15164.075843981
8522,234.0645,15402.94663898
1347,237.0146,17558.686905259
7705,240.0404,18053.319380875
5964,242.991,20120.266909635
2893,246.3038,20426.131171446003
8412,249.4481,21319.722886315
5812,252.756,21633.191463546
2021,256.1299,21951.108024685003
8715,259.0966,22165.386441293
6209,262.346,22598.622874364002
8950,265.2323,22763.509397592003
4140,268.2644,22874.702262215003
9057,271.6525,23756.378439372
9364,274.5971,24481.448304163
6998,277.5614,25215.629413929
3160,280.7013,25329.977771579
1820,283.5586,25387.810559186
7138,286.6276,25854.942480942
6641,289.6708,25913.994645792
4284,293.0557,26093.144789601003
7568,296.1703,27291.528285386
3709,299.1777,27352.271102887
5959,302.133,27964.9688247
3698,305.0519,28027.100122861
5944,308.5145,28214.697238243003
1724,311.4781,28404.787872427
